participant,Label,Condition,PANAS_Active,PANAS_Distressed,PANAS_Interested,PANAS_Inspired,PANAS_Annoyed,PANAS_Strong,PANAS_Guilty,PANAS_Scared,PANAS_Hostile,PANAS_Excited,PANAS_Proud,PANAS_Irritable,PANAS_Enthusiastic,PANAS_Ashamed,PANAS_Alert,PANAS_Nervous,PANAS_Determined,PANAS_Attentive,PANAS_Jittery,PANAS_Afraid,PANAS_Stressed,PANAS_Frustrated,PANAS_Happy,PANAS_Angry,PANAS_Irritated,PANAS_Sad,STAI_At_Ease,STAI_Nervous,STAI_Jittery,STAI_Relaxed,STAI_Worried,STAI_Pleasant,SAM_Valence,SAM_Arousal,SSSQ_Committed,SSSQ_Succeed,SSSQ_Motivated,SSSQ_Reflected,SSSQ_Worried,SSSQ_Concerned
S8,2,Stress,2,2,3,3,1,2,1,2,1,3,2,1,2,2,4,4,5,4,2,2,3,3,1,1,1,1,1,3,3,2,2,2,5,7,4,5,4,3,4,4
S9,1,Base,2,1,3,2,1,3,1,2,1,2,2,2,2,1,3,2,4,4,1,2,2,1,4,,,1,4,2,1,3,1,3,8,3,,,,,,
S9,2,Stress,4,2,5,4,1,2,1,2,1,3,2,1,4,1,4,3,3,5,3,1,2,2,3,1,2,1,2,2,2,1,1,3,7,4,3,3,4,5,2,1
S9,3,Amuse,2,1,2,3,1,2,1,1,2,2,2,1,2,1,3,1,3,3,1,1,1,1,3,,,1,3,1,1,3,1,2,7,3,,,,,,
S10,1,Base,2,1,3,1,1,1,1,1,1,2,1,1,2,1,3,2,1,2,1,1,1,1,2,,,1,3,2,1,3,1,2,6,2,,,,,,
S10,3,Amuse,2,1,3,4,1,2,1,1,1,3,1,1,3,1,2,1,2,4,1,1,1,1,4,,,1,3,1,1,3,1,4,8,2,,,,,,
S10,2,Stress,4,4,3,1,3,1,1,4,2,4,1,3,2,4,4,5,1,4,4,2,4,3,1,2,3,1,1,4,2,1,2,1,3,8,3,2,2,3,3,2
S11,1,Base,1,1,3,2,1,1,1,1,1,1,1,1,2,1,4,1,1,3,1,1,1,1,1,,,1,3,1,1,4,1,2,6,2,,,,,,
S11,2,Stress,4,1,4,2,1,3,1,3,1,3,3,2,1,1,4,4,4,5,2,2,3,1,1,1,2,1,1,3,2,1,2,1,4,6,3,5,4,3,4,3
S11,3,Amuse,1,1,3,4,1,1,1,1,1,2,1,1,4,1,2,1,1,4,1,1,1,1,4,,,1,4,1,1,4,1,4,8,3,,,,,,
S13,1,Base,1,1,4,1,1,1,1,1,1,3,1,1,2,1,3,2,2,4,2,1,2,1,2,,,1,2,2,2,3,1,1,5,3,,,,,,
S13,3,Amuse,1,1,3,4,1,1,1,1,1,3,1,1,2,1,4,1,1,4,1,1,1,1,3,,,1,4,1,2,3,1,4,8,4,,,,,,
S13,2,Stress,5,2,4,1,2,1,2,3,1,3,1,2,1,3,5,5,4,5,3,2,5,3,1,2,3,1,1,4,3,1,2,1,4,9,4,5,5,4,3,5
S14,1,Base,1,1,3,1,1,3,1,1,1,1,1,1,2,1,3,1,3,3,1,1,1,1,3,,,1,1,1,2,3,1,2,5,2,,,,,,
S14,2,Stress,4,1,3,1,1,3,1,3,1,4,3,1,2,1,5,4,4,5,1,1,4,2,3,1,2,1,1,3,2,1,1,1,3,7,5,5,5,2,3,3
S14,3,Amuse,1,1,3,2,1,3,1,1,1,2,3,1,2,1,3,1,1,4,1,1,1,1,3,,,1,1,1,2,3,1,3,7,2,,,,,,
S15,1,Base,2,1,3,2,1,2,1,1,1,2,2,1,2,1,4,3,3,4,2,2,2,1,2,,,1,2,2,1,3,1,2,6,5,,,,,,
S15,3,Amuse,2,1,3,3,1,1,1,1,1,4,2,1,3,1,4,3,1,4,1,2,1,1,4,,,1,3,2,1,3,1,3,7,5,,,,,,
S15,2,Stress,4,3,2,1,2,2,3,2,2,5,2,3,2,2,4,4,4,4,3,2,4,3,1,1,1,1,1,3,2,1,2,1,4,8,4,4,4,4,4,4
S16,1,Base,2,1,3,2,1,2,1,1,1,3,2,1,3,1,2,2,3,3,1,1,1,1,3,,,1,2,2,2,3,1,2,7,2,,,,,,
S16,2,Stress,4,3,3,2,2,1,2,3,1,3,2,2,2,3,4,5,3,4,3,4,5,3,2,2,3,1,2,4,3,1,2,2,3,8,3,3,4,4,3,4
S16,3,Amuse,1,2,3,3,1,2,1,2,1,3,1,1,3,2,2,2,2,4,2,1,1,1,3,,,1,2,1,2,3,1,3,7,4,,,,,,
S17,1,Base,2,1,4,1,1,1,1,1,1,2,1,1,2,1,3,1,1,4,1,1,2,1,3,,,1,2,1,2,2,1,2,7,2,,,,,,
S17,3,Amuse,3,1,4,4,1,1,1,1,1,3,1,1,4,1,4,1,1,4,1,1,1,1,3,,,1,3,1,1,4,1,4,8,2,,,,,,
S17,2,Stress,5,2,1,1,5,2,1,5,4,5,1,5,1,2,4,5,3,3,4,2,5,5,1,5,5,1,1,4,2,1,4,1,1,9,3,4,1,4,5,5
